/usr/local/lib/python3.11/dist-packages/torch/optim/lr_scheduler.py:216: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
/usr/local/lib/python3.11/dist-packages/torch/optim/lr_scheduler.py:232: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
Training patches: 188696
Validation patches: 45441
RVQ-VAE: 1,028,739 total, 635,523 trainable
Codebook: 3 levels x K=1024
Resumed from data/checkpoints/rvq_lvis/checkpoint_epoch059.pt
  Trainer resumed: starting from epoch 60, history has 60 entries
Resuming training from epoch 60/200
Epoch 060 | loss 0.2266 | recon 0.1858 | commit 0.0204 | embed 0.0204 | util 100.0% | lr 8.10e-05 | 180.2s
Epoch 061 | loss 0.2264 | recon 0.1857 | commit 0.0204 | embed 0.0204 | util 100.0% | lr 8.04e-05 | 191.8s
Epoch 062 | loss 0.2266 | recon 0.1855 | commit 0.0206 | embed 0.0206 | util 100.0% | lr 7.97e-05 | 187.2s
Epoch 063 | loss 0.2269 | recon 0.1854 | commit 0.0208 | embed 0.0208 | util 100.0% | lr 7.91e-05 | 183.4s
Epoch 064 | loss 0.2270 | recon 0.1851 | commit 0.0209 | embed 0.0209 | util 100.0% | lr 7.84e-05 | 193.7s
Epoch 065 | loss 0.2267 | recon 0.1850 | commit 0.0208 | embed 0.0208 | util 100.0% | lr 7.77e-05 | 185.5s
Epoch 066 | loss 0.2269 | recon 0.1849 | commit 0.0210 | embed 0.0210 | util 100.0% | lr 7.71e-05 | 185.9s
Epoch 067 | loss 0.2270 | recon 0.1848 | commit 0.0211 | embed 0.0211 | util 100.0% | lr 7.64e-05 | 195.4s
Epoch 068 | loss 0.2270 | recon 0.1847 | commit 0.0212 | embed 0.0212 | util 100.0% | lr 7.57e-05 | 194.6s
Epoch 069 | loss 0.2269 | recon 0.1845 | commit 0.0212 | embed 0.0212 | util 100.0% | lr 7.50e-05 | 188.8s
Epoch 070 | loss 0.2272 | recon 0.1846 | commit 0.0213 | embed 0.0213 | util 100.0% | lr 7.43e-05 | 185.4s
Epoch 071 | loss 0.2273 | recon 0.1844 | commit 0.0214 | embed 0.0214 | util 100.0% | lr 7.36e-05 | 180.8s
Epoch 072 | loss 0.2270 | recon 0.1841 | commit 0.0215 | embed 0.0215 | util 100.0% | lr 7.29e-05 | 185.4s
Epoch 073 | loss 0.2273 | recon 0.1839 | commit 0.0217 | embed 0.0217 | util 100.0% | lr 7.22e-05 | 178.6s
Epoch 074 | loss 0.2273 | recon 0.1837 | commit 0.0218 | embed 0.0218 | util 100.0% | lr 7.14e-05 | 173.9s
Epoch 075 | loss 0.2271 | recon 0.1836 | commit 0.0218 | embed 0.0218 | util 100.0% | lr 7.07e-05 | 175.6s
Epoch 076 | loss 0.2277 | recon 0.1838 | commit 0.0219 | embed 0.0219 | util 100.0% | lr 7.00e-05 | 195.1s
Epoch 077 | loss 0.2276 | recon 0.1834 | commit 0.0221 | embed 0.0221 | util 100.0% | lr 6.92e-05 | 199.9s
Epoch 078 | loss 0.2273 | recon 0.1833 | commit 0.0220 | embed 0.0220 | util 100.0% | lr 6.85e-05 | 184.7s
Epoch 079 | loss 0.2277 | recon 0.1833 | commit 0.0222 | embed 0.0222 | util 100.0% | lr 6.77e-05 | 197.3s
Epoch 080 | loss 0.2275 | recon 0.1831 | commit 0.0222 | embed 0.0222 | util 100.0% | lr 6.70e-05 | 184.3s
Epoch 081 | loss 0.2279 | recon 0.1829 | commit 0.0225 | embed 0.0225 | util 100.0% | lr 6.62e-05 | 190.0s
Epoch 082 | loss 0.2275 | recon 0.1829 | commit 0.0223 | embed 0.0223 | util 100.0% | lr 6.55e-05 | 186.3s
Epoch 083 | loss 0.2277 | recon 0.1828 | commit 0.0225 | embed 0.0225 | util 100.0% | lr 6.47e-05 | 190.0s
Epoch 084 | loss 0.2277 | recon 0.1827 | commit 0.0225 | embed 0.0225 | util 100.0% | lr 6.39e-05 | 190.2s
Epoch 085 | loss 0.2277 | recon 0.1825 | commit 0.0226 | embed 0.0226 | util 100.0% | lr 6.31e-05 | 178.8s
Epoch 086 | loss 0.2276 | recon 0.1825 | commit 0.0226 | embed 0.0226 | util 100.0% | lr 6.24e-05 | 191.3s
Epoch 087 | loss 0.2278 | recon 0.1824 | commit 0.0227 | embed 0.0227 | util 100.0% | lr 6.16e-05 | 183.7s
Epoch 088 | loss 0.2278 | recon 0.1822 | commit 0.0228 | embed 0.0228 | util 100.0% | lr 6.08e-05 | 194.5s
Epoch 089 | loss 0.2276 | recon 0.1821 | commit 0.0228 | embed 0.0228 | util 100.0% | lr 6.00e-05 | 190.6s
Epoch 090 | loss 0.2280 | recon 0.1820 | commit 0.0230 | embed 0.0230 | util 100.0% | lr 5.92e-05 | 183.0s
Epoch 091 | loss 0.2278 | recon 0.1819 | commit 0.0229 | embed 0.0229 | util 100.0% | lr 5.84e-05 | 198.7s
Epoch 092 | loss 0.2279 | recon 0.1818 | commit 0.0231 | embed 0.0231 | util 100.0% | lr 5.76e-05 | 204.2s
Epoch 093 | loss 0.2279 | recon 0.1817 | commit 0.0231 | embed 0.0231 | util 100.0% | lr 5.68e-05 | 201.9s
Epoch 094 | loss 0.2278 | recon 0.1816 | commit 0.0231 | embed 0.0231 | util 100.0% | lr 5.60e-05 | 211.0s
Epoch 095 | loss 0.2277 | recon 0.1815 | commit 0.0231 | embed 0.0231 | util 100.0% | lr 5.52e-05 | 207.5s
Epoch 096 | loss 0.2279 | recon 0.1816 | commit 0.0232 | embed 0.0232 | util 100.0% | lr 5.44e-05 | 201.3s
Epoch 097 | loss 0.2281 | recon 0.1814 | commit 0.0233 | embed 0.0233 | util 100.0% | lr 5.36e-05 | 188.4s
Epoch 098 | loss 0.2279 | recon 0.1814 | commit 0.0233 | embed 0.0233 | util 100.0% | lr 5.28e-05 | 196.0s
Epoch 099 | loss 0.2279 | recon 0.1813 | commit 0.0233 | embed 0.0233 | util 100.0% | lr 5.20e-05 | 203.9s
Epoch 100 | loss 0.2278 | recon 0.1812 | commit 0.0233 | embed 0.0233 | util 100.0% | lr 5.12e-05 | 199.4s
Epoch 101 | loss 0.2278 | recon 0.1810 | commit 0.0234 | embed 0.0234 | util 100.0% | lr 5.04e-05 | 190.9s
Epoch 102 | loss 0.2282 | recon 0.1811 | commit 0.0236 | embed 0.0236 | util 100.0% | lr 4.96e-05 | 196.5s
Epoch 103 | loss 0.2278 | recon 0.1808 | commit 0.0235 | embed 0.0235 | util 100.0% | lr 4.88e-05 | 202.3s
Epoch 104 | loss 0.2280 | recon 0.1807 | commit 0.0237 | embed 0.0237 | util 100.0% | lr 4.80e-05 | 185.5s
Epoch 105 | loss 0.2280 | recon 0.1807 | commit 0.0236 | embed 0.0236 | util 100.0% | lr 4.72e-05 | 186.7s
Epoch 106 | loss 0.2283 | recon 0.1807 | commit 0.0238 | embed 0.0238 | util 100.0% | lr 4.64e-05 | 194.9s
Epoch 107 | loss 0.2282 | recon 0.1806 | commit 0.0238 | embed 0.0238 | util 100.0% | lr 4.56e-05 | 191.9s
Epoch 108 | loss 0.2283 | recon 0.1805 | commit 0.0239 | embed 0.0239 | util 100.0% | lr 4.48e-05 | 193.8s
Epoch 109 | loss 0.2283 | recon 0.1805 | commit 0.0239 | embed 0.0239 | util 100.0% | lr 4.40e-05 | 195.4s
Epoch 110 | loss 0.2282 | recon 0.1803 | commit 0.0240 | embed 0.0240 | util 100.0% | lr 4.32e-05 | 192.4s
Epoch 111 | loss 0.2280 | recon 0.1803 | commit 0.0239 | embed 0.0239 | util 100.0% | lr 4.24e-05 | 184.5s
Epoch 112 | loss 0.2281 | recon 0.1802 | commit 0.0239 | embed 0.0239 | util 100.0% | lr 4.16e-05 | 197.9s
Epoch 113 | loss 0.2281 | recon 0.1802 | commit 0.0240 | embed 0.0240 | util 100.0% | lr 4.08e-05 | 192.1s
Epoch 114 | loss 0.2280 | recon 0.1801 | commit 0.0240 | embed 0.0240 | util 100.0% | lr 4.00e-05 | 192.4s
Epoch 115 | loss 0.2283 | recon 0.1800 | commit 0.0241 | embed 0.0241 | util 100.0% | lr 3.92e-05 | 194.3s
Epoch 116 | loss 0.2287 | recon 0.1799 | commit 0.0244 | embed 0.0244 | util 100.0% | lr 3.84e-05 | 187.8s
Epoch 117 | loss 0.2284 | recon 0.1799 | commit 0.0243 | embed 0.0243 | util 100.0% | lr 3.76e-05 | 197.0s
Epoch 118 | loss 0.2284 | recon 0.1797 | commit 0.0243 | embed 0.0243 | util 100.0% | lr 3.69e-05 | 193.3s
Epoch 119 | loss 0.2282 | recon 0.1797 | commit 0.0243 | embed 0.0243 | util 100.0% | lr 3.61e-05 | 192.0s
Epoch 120 | loss 0.2286 | recon 0.1797 | commit 0.0245 | embed 0.0245 | util 100.0% | lr 3.53e-05 | 197.6s
Epoch 121 | loss 0.2285 | recon 0.1797 | commit 0.0244 | embed 0.0244 | util 100.0% | lr 3.45e-05 | 184.4s
Epoch 122 | loss 0.2286 | recon 0.1795 | commit 0.0246 | embed 0.0246 | util 100.0% | lr 3.38e-05 | 193.1s
Epoch 123 | loss 0.2290 | recon 0.1795 | commit 0.0248 | embed 0.0248 | util 100.0% | lr 3.30e-05 | 187.1s
Epoch 124 | loss 0.2290 | recon 0.1794 | commit 0.0248 | embed 0.0248 | util 100.0% | lr 3.23e-05 | 187.9s
Epoch 125 | loss 0.2292 | recon 0.1795 | commit 0.0249 | embed 0.0249 | util 100.0% | lr 3.15e-05 | 190.9s
Epoch 126 | loss 0.2289 | recon 0.1793 | commit 0.0248 | embed 0.0248 | util 100.0% | lr 3.08e-05 | 190.3s
Epoch 127 | loss 0.2291 | recon 0.1794 | commit 0.0249 | embed 0.0249 | util 100.0% | lr 3.00e-05 | 182.2s
Epoch 128 | loss 0.2294 | recon 0.1794 | commit 0.0250 | embed 0.0250 | util 100.0% | lr 2.93e-05 | 166.0s
Epoch 129 | loss 0.2294 | recon 0.1792 | commit 0.0251 | embed 0.0251 | util 100.0% | lr 2.86e-05 | 181.6s
Epoch 130 | loss 0.2293 | recon 0.1792 | commit 0.0251 | embed 0.0251 | util 100.0% | lr 2.78e-05 | 201.3s
Epoch 131 | loss 0.2293 | recon 0.1791 | commit 0.0251 | embed 0.0251 | util 100.0% | lr 2.71e-05 | 187.9s
Epoch 132 | loss 0.2294 | recon 0.1791 | commit 0.0251 | embed 0.0251 | util 100.0% | lr 2.64e-05 | 196.9s
Epoch 133 | loss 0.2298 | recon 0.1790 | commit 0.0254 | embed 0.0254 | util 100.0% | lr 2.57e-05 | 195.1s
Epoch 134 | loss 0.2295 | recon 0.1789 | commit 0.0253 | embed 0.0253 | util 100.0% | lr 2.50e-05 | 181.8s
Epoch 135 | loss 0.2298 | recon 0.1789 | commit 0.0254 | embed 0.0254 | util 100.0% | lr 2.43e-05 | 176.2s
Epoch 136 | loss 0.2302 | recon 0.1790 | commit 0.0256 | embed 0.0256 | util 100.0% | lr 2.36e-05 | 172.6s
Epoch 137 | loss 0.2297 | recon 0.1788 | commit 0.0254 | embed 0.0254 | util 100.0% | lr 2.29e-05 | 177.9s
Epoch 138 | loss 0.2297 | recon 0.1788 | commit 0.0255 | embed 0.0255 | util 100.0% | lr 2.23e-05 | 191.7s
Epoch 139 | loss 0.2302 | recon 0.1787 | commit 0.0257 | embed 0.0257 | util 100.0% | lr 2.16e-05 | 204.2s
Epoch 140 | loss 0.2300 | recon 0.1787 | commit 0.0256 | embed 0.0256 | util 100.0% | lr 2.09e-05 | 195.2s
Epoch 141 | loss 0.2301 | recon 0.1786 | commit 0.0257 | embed 0.0257 | util 100.0% | lr 2.03e-05 | 200.2s
Epoch 142 | loss 0.2299 | recon 0.1785 | commit 0.0257 | embed 0.0257 | util 100.0% | lr 1.96e-05 | 197.3s
Epoch 143 | loss 0.2302 | recon 0.1785 | commit 0.0258 | embed 0.0258 | util 100.0% | lr 1.90e-05 | 191.3s
Epoch 144 | loss 0.2301 | recon 0.1784 | commit 0.0258 | embed 0.0258 | util 100.0% | lr 1.84e-05 | 194.7s
Epoch 145 | loss 0.2301 | recon 0.1784 | commit 0.0259 | embed 0.0259 | util 100.0% | lr 1.78e-05 | 183.4s
Epoch 146 | loss 0.2301 | recon 0.1784 | commit 0.0258 | embed 0.0258 | util 100.0% | lr 1.71e-05 | 185.6s
Epoch 147 | loss 0.2302 | recon 0.1784 | commit 0.0259 | embed 0.0259 | util 100.0% | lr 1.65e-05 | 193.5s
Epoch 148 | loss 0.2302 | recon 0.1783 | commit 0.0260 | embed 0.0260 | util 100.0% | lr 1.59e-05 | 170.7s
Epoch 149 | loss 0.2303 | recon 0.1782 | commit 0.0260 | embed 0.0260 | util 100.0% | lr 1.54e-05 | 175.0s
Epoch 150 | loss 0.2304 | recon 0.1782 | commit 0.0261 | embed 0.0261 | util 100.0% | lr 1.48e-05 | 171.0s
Epoch 151 | loss 0.2305 | recon 0.1782 | commit 0.0262 | embed 0.0262 | util 100.0% | lr 1.42e-05 | 170.8s
Epoch 152 | loss 0.2305 | recon 0.1781 | commit 0.0262 | embed 0.0262 | util 100.0% | lr 1.37e-05 | 171.0s
Epoch 153 | loss 0.2304 | recon 0.1781 | commit 0.0261 | embed 0.0261 | util 100.0% | lr 1.31e-05 | 178.4s
Epoch 154 | loss 0.2302 | recon 0.1780 | commit 0.0261 | embed 0.0261 | util 100.0% | lr 1.26e-05 | 161.0s
Epoch 155 | loss 0.2303 | recon 0.1780 | commit 0.0262 | embed 0.0262 | util 100.0% | lr 1.20e-05 | 180.7s
